0.000	2.000
0.010	1.980
0.020	1.960
0.030	1.940
0.040	1.920
0.050	1.900
0.060	1.880
0.070	1.860
0.080	1.840
0.090	1.820
0.100	1.800
0.110	1.780
0.120	1.760
0.130	1.740
0.140	1.720
0.150	1.700
0.160	1.680
0.170	1.660
0.180	1.640
0.190	1.620
0.200	1.600
0.210	1.580
0.220	1.560
0.230	1.540
0.240	1.520
0.250	1.500
0.260	1.480
0.270	1.460
0.280	1.440
0.290	1.420
0.300	1.400
0.310	1.380
0.320	1.360
0.330	1.340
0.340	1.320
0.350	1.300
0.360	1.280
0.370	1.260
0.380	1.240
0.390	1.220
0.400	1.200
0.410	1.180
0.420	1.160
0.430	1.140
0.440	1.120
0.450	1.100
0.460	1.080
0.470	1.060
0.480	1.040
0.490	1.020
0.500	1.000
0.510	0.980
0.520	0.960
0.530	0.940
0.540	0.920
0.550	0.900
0.560	0.880
0.570	0.860
0.580	0.840
0.590	0.820
0.600	0.800
0.610	0.780
0.620	0.760
0.630	0.740
0.640	0.720
0.650	0.700
0.660	0.680
0.670	0.660
0.680	0.640
0.690	0.620
0.700	0.600
0.710	0.580
0.720	0.560
0.730	0.540
0.740	0.520
0.750	0.500
0.760	0.480
0.770	0.460
0.780	0.440
0.790	0.420
0.800	0.400
0.810	0.380
0.820	0.360
0.830	0.340
0.840	0.320
0.850	0.300
0.860	0.280
0.870	0.260
0.880	0.240
0.890	0.220
0.900	0.200
0.910	0.180
0.920	0.160
0.930	0.140
0.940	0.120
0.950	0.100
0.960	0.080
0.970	0.060
0.980	0.040
0.990	0.020
1.000	0.000
