0.0000	1.2732
0.0100	1.2732
0.0200	1.2730
0.0300	1.2727
0.0400	1.2722
0.0500	1.2716
0.0600	1.2709
0.0700	1.2701
0.0800	1.2692
0.0900	1.2681
0.1000	1.2669
0.1100	1.2655
0.1200	1.2640
0.1300	1.2624
0.1400	1.2607
0.1500	1.2588
0.1600	1.2568
0.1700	1.2547
0.1800	1.2524
0.1900	1.2500
0.2000	1.2475
0.2100	1.2448
0.2200	1.2420
0.2300	1.2391
0.2400	1.2360
0.2500	1.2328
0.2600	1.2295
0.2700	1.2260
0.2800	1.2223
0.2900	1.2185
0.3000	1.2146
0.3100	1.2105
0.3200	1.2063
0.3300	1.2019
0.3400	1.1974
0.3500	1.1927
0.3600	1.1879
0.3700	1.1829
0.3800	1.1777
0.3900	1.1724
0.4000	1.1669
0.4100	1.1613
0.4200	1.1555
0.4300	1.1495
0.4400	1.1434
0.4500	1.1370
0.4600	1.1305
0.4700	1.1238
0.4800	1.1170
0.4900	1.1099
0.5000	1.1027
0.5100	1.0952
0.5200	1.0876
0.5300	1.0797
0.5400	1.0716
0.5500	1.0634
0.5600	1.0549
0.5700	1.0462
0.5800	1.0372
0.5900	1.0280
0.6000	1.0186
0.6100	1.0089
0.6200	0.9990
0.6300	0.9888
0.6400	0.9783
0.6500	0.9676
0.6600	0.9565
0.6700	0.9452
0.6800	0.9336
0.6900	0.9216
0.7000	0.9093
0.7100	0.8966
0.7200	0.8836
0.7300	0.8702
0.7400	0.8564
0.7500	0.8422
0.7600	0.8275
0.7700	0.8124
0.7800	0.7968
0.7900	0.7806
0.8000	0.7639
0.8100	0.7467
0.8200	0.7288
0.8300	0.7102
0.8400	0.6908
0.8500	0.6707
0.8600	0.6497
0.8700	0.6278
0.8800	0.6048
0.8900	0.5805
0.9000	0.5550
0.9100	0.5279
0.9200	0.4990
0.9300	0.4680
0.9400	0.4344
0.9500	0.3976
0.9600	0.3565
0.9700	0.3095
0.9800	0.2534
0.9900	0.1796
1.0000	0.0000
